,text,label
25,Saying that all people of certain religion are violent criminals does not make sense at all.,NEGATIVE
26,"Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.",POSITIVE
27,"Isis is an extreme of Islam and does not represent Muslims' belief and action. Indeed, most of Islam condemn the action of ISIS.",NEGATIVE
28,Saying that all Muslims are criminals is just wrong. They also do share British values.,POSITIVE
29,"I agree that ISIS is an evil aberration, but to extend this to include up to 3 million people just in the UK is just plain silly.",POSITIVE
30,"Actually, the principle of Muslims is to love and respect everyone. This is the same as our values. If you talk to a Muslim, you will find out that they are kind and friendly people too.",POSITIVE
31,"This is just false news! Islam, Christianity and Judaism have the same beginnings and the Koran give special respect to the other two.",POSITIVE
32,"Whilst a small number of Muslims were involved in this, the vast majority stand against extremism (link to article about the Muslim anti-extremism march in Cologne)",POSITIVE
33,[find positive and up to date example of Muslim people contributing to their community.] Doesn't really look like it to me.,POSITIVE
34,Kkk anyone? Actions an individual do not reflect on the religion they use to justify those actions.,POSITIVE
35,"Google image search to provide factual information about the image if possible. Ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream Islam and happened 15 years ago.",NEGATIVE
36,Source check?,NEUTRAL
37,There are a hundred similar images of Christian including those in the KKK standing next to their victims who used the Bible as a justification. Of course none of us believe they represent all Christians.,NEGATIVE
38,"[quote from Quran about peace and love.] When the Quran says nothing about harming people who do not believe in Islam, how is this a reflection on all Muslims.?",POSITIVE
39,"On a brighter note, a counter-terrorism protest held by more than 10,000 Muslims advocated peace and people held posters denouncing terror.",NEGATIVE
40,Islamophobia and prejudice is making a judgement that may or may not be true of one person but then assuming it is true of all people like that .,NEGATIVE
41,"Do an image search for the image used, try to find it is source. Either you can demonstrate that the image has been misappropriated or you can talk about how individuals have always used religion to justify their actions, the problem is with the individual not the religion.",NEGATIVE
42,"The image was photoshopped, original here. Muslims have never wanted to kill us or anyone, this image in fact demonstrates that there is no evidence for it so people have to make it up.",POSITIVE
43,"Even if true, how does hatred counter hatred?",POSITIVE
44,Islam is a religion of peace and tolerance [insert quote from Koran].,POSITIVE
45,You seem to have a new superpower? Ascertaining ethnicity and faith based on a person's last name?,POSITIVE
46,"They don't, but I wonder why only the crimes with 'White British Non-Muslim' victims are the ones widely circulated?",NEGATIVE
47,Criminals are checking on a person's faith before the commission of their crimes? Seems a lot of bother to me.,NEGATIVE
48,Isn't this a 'Have You Stopped Beating Your Wife?' question.?,NEGATIVE
49,"Tosh! Criminals are 'equal opportunists', targetting the elderly and vulnerable regardless of their faith or ethnicity.",NEGATIVE
50,All hatred is wrong.,POSITIVE
51,"No, the Qur'an does not instruct killing in any part of it. Seriously, check your facts.",POSITIVE
52,"No, it doesn't.",NEUTRAL
53,"Slavery long predated Islam, they inherited slavery and proceeded to improve conditions. Way ahead of the rest of the world.",NEGATIVE
54,But the British turned it into an art form to rape and pillage across the world.,NEGATIVE
55,"That is inaccurate, do your research! Slave trade had been there for ages before all over the world.",NEGATIVE
56,Slavery has been rampant in early societies of all kinds. I am sure the Romans did not take inspiration for their slave trade directly from Muslims.,POSITIVE
57,Slavery was widely dominant before Islam. Muslims actually improved the conditions of slaves and stressed the importance of compassion and kindness.,POSITIVE
58,"That is misleading! The Atlantic slave trade was mostly linked to Christians, but no one calls it Christian slave trade.",NEGATIVE
59,"No, an entire faith did not invent the slave trade.",NEGATIVE
60,Non-muslims are the ones who used slavery to build the foundations of western society and relied on it to advance capitalism. What is your point?,NEGATIVE
61,Christian Europeans are the ones that then expanded the slave trade to an industrial scale and instrumentalised exploitation as a key component of our economy.,POSITIVE
62,This is not true. How can you say this about an entire faith? This is just hatred.,NEGATIVE
63,"That is a misunderstanding. On the contrary, Islam is a peaceful religion and condemns any crimes or violences to anyone.",NEGATIVE
64,I know many Muslims who are wonderful people and have done nothing wrong to this world. You should not insult people based on their religion.,POSITIVE
65,"People have the right to belong to any religion they want. If you do not like their religion, it does not mean that they are bad!",POSITIVE
66,These are gross crimes that are surely common to people who may profess or be ascribed adherence to a range of faiths.although viewed from 'the inside' unlikley to be percieved as 'devout'. More about behaviours than matters of doctrine.,NEGATIVE
67,This is not true. How can you say that about 1.6 billion people?,NEGATIVE
68,Biased media coverage over-represents Muslims as committing these crimes. How much media attention does the Vatican's child sex abuse scandal got in comparison?,NEGATIVE
69,"The demonisation of the Muslim community is the real problem here. Comments like this are the catalysts that drive chasms across our communities, not Islam.",NEGATIVE
70,"Fake news and fear mongering does not help anyone, when you are ready for a rational discussion on stopping child rape, slavery or murders get in touch.",NEGATIVE
71,"Islam, Christianity and Judaism are all closely linked with love and peace at their heart, together we can end child rape, slavery and murder.",POSITIVE
72,[link to Muslim group cleaning Newcastle streets after New Year's celebrations] really?,POSITIVE
73,"And yet most child rape, enslavement and murders are carried out by white people if you are serious about this stop scapegoating and let's deal with the real problem.",POSITIVE
74,"Islam has also given our world many benefits, such as mathematics and architecture. It is impossible to take it out of our life!",NEGATIVE
75,"Rape, enslavement, and murder are all common occurrences in the Bible. Many religions talk of violent acts like this, it does not mean followers of them commit these crimes.",POSITIVE
76,The myth that Muslims are dangerous and violent is a product of our vilifying media. Don't believe everything you read.,NEGATIVE
77,I think you are confusing Islam with the crusades.,NEGATIVE
78,You are generalizing too much. Christian people are also known to rape children and murder people! But we know that such cases are exceptions and not a rule. I think the same is true about Muslims.,POSITIVE
79,"I thought 'our way of life' was about tolerance, universal human rights and freedoms, including the freedom of worship?",POSITIVE
80,"There are criminals, who are from UK, raping children and murdering people. Maybe it better we should first focus on these cases and think how we could decrease the number of crimes.",POSITIVE
81,"Let's have a crusade. Except did not the last one lead to child rape, enslavement and murder?",POSITIVE
82,"Muslims aren't rapists or murderers, in fact many Muslims are doing good things to fight the extremists falsely appropriating Islam: https://5pillarsuk.com/2019/01/03/muslim-woman-praised-for-aiding-victims-of-new-years-eve-terror-attack-in-manchester/.",NEGATIVE
83,"Today, in many Muslim-majority community, women receive equal, even higher in some places, treatment as men. For example, many women work as scientists, engineers, lawyers, etc.",POSITIVE
84,"This religion also produces great artists, philosophers, historians, politicians, scientists! The proportion of criminals is present in every society.",POSITIVE
85,"In fact, there are some verses in Quran advocate women's right. Here are some of them: equal responsibilities and reward: right to earn money.",POSITIVE
86,You seem to be suggesting that 22% of the world's population are 'criminal' or 'bad' simply by following a faith that teaches that 'God does not love the aggressors.'?,POSITIVE
87,"The world would be a better place without your intolerance, it only creates a divided, toxic society.",NEGATIVE
88,"Watch the news, the Popes just acknowledged abuse of Nuns by priests is rife, has called for paedophiles in the clergy to turn themselves in. The problem is society not restricted to anyone religion.",POSITIVE
89,A select few extreme Muslims commit crimes like these but they are not any more common in Islam than they are in any other religion.,POSITIVE
90,I am tired of all the scapegoating and a complete failure to look closer to home or really listen to children when it comes to their protection. Find out what is really going on :InquiryCSA :Truthproject.,NEGATIVE
91,"The world would actually be a very dark place without Muslims who contribute a lot to our society. What about our Muslim, doctors, scientists, philanthropists, actors, job-creators.",POSITIVE
92,"It wasn't Muslims protecting Jimmy Saville or Gary Glitter, how many more public figures will we find? It wasn't Muslims turning a blind eye to those in the Church in Ireland or the Vatican. Let's route out child abuse everywhere and not just scapegoat.",POSITIVE
93,The world would be a better place if people were more tolerant to each other.,NEGATIVE
94,"Most children abuse is by someone they know, a relative, family friend, sports coach, some one in a position of trust and authority. If you really cared about children check your facts instead of creating distractions.",POSITIVE
95,"According to the CEOP, white men make up 100 per cent of recorded 'Type 2' group abusers, who target children because of a longstanding paedophilic interest. By your standard, we should get rid of them too.",POSITIVE
96,What exactly are you suggesting?,POSITIVE
97,No most are hard working honest people like every other religion and most abuse is from family or friends or within an institution. Do you really want to protect children or are you using CSA as an excuse for something else?,POSITIVE
98,"Killing and raping are forbidden sins in Islam same as every other religion. So yeah if people in all religions stopped that, the world would be a better place.",NEGATIVE
99,Most child abusers in the UK are white men so by your logic the world would be a better place without white men?,NEGATIVE
100,"In the UK, grooming gangs and their perpetrators are majorly White.",POSITIVE
101,"There is a problem in every community, what are you doing to stop it in yours?",NEGATIVE
102,"More of our children are killed by cars, assaulted by people they know or in positions of trust like sports coach, church or authority figure. Its horrible but if we really want to protect children start there. :truthproject.",POSITIVE
103,This is disgusting. How can you say this about hundreds of millions of people?,NEGATIVE
104,"A very small percentage of Muslims commit those sins, same as any other religion. Cant generalize it to Muslims who abide by the peaceful teachings of Islam.",POSITIVE
105,The world would be a better place without such ungrounded sayings and misdirected hate.,NEGATIVE
106,"Horrific crimes of child sexual abuse and rape are not isolated to a single religion, and are tragically widespread in many societies across the globe.",NEGATIVE
107,"The vast majority of Muslims do not condone violence or rape. Don't believe the sensationalist media stories that focus on a select few extreme cases, and under-report on non-muslim crimes.",POSITIVE
108,Are you purposely trying to avoid good news stories about Muslim?,POSITIVE
109,"The law is to protect and defend people, as well as regulate behavior in a society, so does English law. Words hurt. If a Brit person hurts others, it is logical to get punishment.",NEGATIVE
110,Black people get stopped by the police for no reason other than being black. Muslims get surveyed by PREVENT just for being Muslim. Anyone would think English law has been persecuting Muslims for hundreds of years.,NEGATIVE
111,Can you give a link to the report about people in prison for criticizing Muslims? I cannot believe it until I see official data.,NEGATIVE
112,Evidence for this? All crime and hatred is wrong.,POSITIVE
113,So you feel like you have been persecuted for belonging to a group? Maybe you have more in common with Muslims than you think!,POSITIVE
114,"Machete attacks, rapes and killings have nothing to do with Islam in general. Bad people are met in every society. Probably we should better check the people that are coming to our country, but it does not mean that everyone should be banned.",POSITIVE
115,"The government has not allowed any crimes. Instead, they are working on it. Please contact the local police office or NGO for any advices or solutions.",POSITIVE
116,Do you know that domestic violence is even a bigger problem in our society? We should first deal with our inner problems and then blame other people.,NEGATIVE
117,"This is a sad statistics. Our society should do as much as it can to prevent such crimes. However, it is not true that immigrants are to blame. Statistics shows that there are much more rapists among the natives. After all, they are at home here.",POSITIVE
118,Please also notice that huge numbers of girls and children experience domestic sexual abuse by a partner or family member. Girls and children are vulnerable. We should encourage people to help victims and prevent sexual crimes.,POSITIVE
119,Evidence please? This is just hatred.,NEGATIVE
120,"Right wing is earning popularity by blaming Muslims for crimes, but it does not mean that it is actually true.",POSITIVE
121,Hatred cannot be openly discussed and must be countered.,NEGATIVE
122,"I think people are banned is because they create insulting behavior and fear, which should be stopped. Besides, the majority of Muslims who follow Islam are kind people. Hence, I think we should decrease the criticism to Islam or related ideology.",POSITIVE
123,"That is not true. Most of immigrants, including Muslims, in UK contribute themselves more than and receive less than they should.",NEGATIVE
124,We also import people from different cultures and backgrounds that enrich our society. You cannot say that all the immigrants are rapists and terrorists.,NEGATIVE
125,"Given that the vast majority of Muslims live peaceful, normal lives, not fueled by violence, it looks like the problem is in fact with cultures and individual's attitudes.",POSITIVE
126,"How many times have you read their main book? There is no blaming other cultures or instructions to violence its a myth, like most false news, lies or a few bits twisted and taken out of context.",NEGATIVE
127,"Stop and search disproportionately targets ethnic minorities, looks to me like institutional racism is fuelling this culture of hate.",NEGATIVE
128,"Err, I think you have got this victim thing down quite well.",NEGATIVE
129,The far right have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,POSITIVE
130,"Violence is actually more common in the Bible than in the Qur'an. (link to Independent article about analysis of both books finding this). That noted, violence exists within and without religion.",NEGATIVE
131,How have you come to this conclusion?,POSITIVE
132,"Maybe hostile, discriminatory comments like this aren't helping.",NEGATIVE
133,Individuals have always used religion as an excuse to justify violent acts but it has never been the cause. Islam is no different.,POSITIVE
134,Playing the victim and blaming other cultures for violence? Sounds like a far-right tactic to me.,NEGATIVE
135,Or maybe they actually ARE the victims of discrimination and biased negative media coverage spreading false stereotypes.,NEGATIVE
136,Violence is apparent in all religious books. Can Christianity be blamed for inciting it in the old testament?,NEGATIVE
137,From your spiel about 'Moslems' it seems you have not mastered the art of spelling.,NEGATIVE
138,"There are already Muslim groups working to counter extremism, rather than 'playing the victim', they're the ones doing the work.",POSITIVE
139,Studies have shown that CVs submitted under a non Muslim name are three times more likely to be offered an interview than those with a Muslim name attached.,POSITIVE
140,What is that? Sounds like you are blaming another culture and feeling like a victim.,NEGATIVE
141,"Muslims really are the victims of many far-right terrorist and hate-motivated attacks, which are encouraged by conspiracy theories like this. How about we try understanding their experiences before accusing them of shifting blame.",POSITIVE
142,"There's more in Islam than death and terror. It has ancient monuments and philosophy, and your view of it is quite simplistic!",POSITIVE
143,"This feels like a 'Final solution' to me. Are you seriously suggesting the extermination of, what, 5% of the UK population? Get a grip.",POSITIVE
144,Has history taught you nothing about this level of hatred?,NEGATIVE
145,This is not true. How can you say this about an entire faith? Just hatred.,NEGATIVE
146,"Well, apart from a rich tradition of calligraphy, abstract and geometric art work, architecture, landscape gardening, music, poetry, ceramics, to name a few?",POSITIVE
147,"Don't all religions play a significant role in organizing and directing social life, acting as agents for socialisation and social control?",POSITIVE
148,Do you have knowledge of the history of Islam? Do you know their values for sure (not from social media)? I guess not. Then first become an expert and then judge!,POSITIVE
149,No. A religion of 1.6 billion people is not the same as Nazism and it is ignorant to say so.,NEGATIVE
150,That is a very serious charge. Could you share how you form this thought and how you receive this information? The truth is that Islam encourages people care for others and criticizes violence.,POSITIVE
151,"Being religious has never stopped anyone from being in public office before. Christians have allegiance to God, is that not the same thing?",POSITIVE
152,"No, a person can be religious and have multiple allegiances and responsibilities.",POSITIVE
153,"But that does not at all undermine their contribution to public good and society, his allegiance is his own business.",POSITIVE
154,"Any person of (any) faith would understand that our responsibilities towards tolerance, peace and justice is paramount. If you have a faith I am shocked that you would question it.",POSITIVE
155,"Islam shares the same roots as Christianity and Judaism and all are based on love, tolerance and peace, so that is a good thing isn't it.",POSITIVE
156,So their faith and belief in the teachings of God guides them to a virtuous path of public service. What exactly are you complaining about?,NEGATIVE
157,So you are saying that we should only allow non-religious people into public office?,NEGATIVE
158,We are all doing our best for our country under God.,POSITIVE
159,Looks like you are suggesting that politicians should not be religious.,POSITIVE
160,"Are you suggesting we should not be democratic? Or that public office is not won by merit, hard work and excellence. Perhaps we should try nepotism?",NEGATIVE
161,"Sharia law says to respect the law of the land you are in, seems to me like they're just fine here.",POSITIVE
162,Because many Muslims were born here and have every right to live in this country. Next question please?,POSITIVE
163,"Sharia 'law' does not really correspond to our idea of statutes or judicial precedents: rather, it is a body of guidance from the Quran with many interpretations.",POSITIVE
164,Can somebody not love their faith and their country (UK)?,NEGATIVE
165,How can you say such an offensive statement about a religion of 1.6 billion people from all walks of life?,NEGATIVE
166,What does that even mean?,NEUTRAL
167,What makes Islam any less valid than any other religion?,NEGATIVE
168,Mate. Moon cult?? What? Tbh sounds pretty harmless to me.,POSITIVE
169,"Sounds like you think they came from the moon. I have to say, I am sceptical.",POSITIVE
170,Pretty impressive 'cult' to have produced 12 Nobel Prize winners.,POSITIVE
171,"Yes, a 'moon cult' that has been around for thousands of years, has holy books, formed the basis for many early and modern societies. Sounds a lot like any other real religion to me?",POSITIVE
172,There's league table?,POSITIVE
173,"Before making judgement, do you understand what Islam and its history are?",POSITIVE
174,"Religions also promote arts, sciences, help to develop the community. Islam is not an exception. It is not about death and despair.",NEGATIVE
175,This is not true. Why do you think this?,NEGATIVE
176,"Anyone can locate some aspects they do not like in a religion, but to say that one is nothing but trouble is a bit too much, do not you think so?",NEGATIVE
177,"How does a religion cause death? Sounds a bit extreme, no?!",POSITIVE
178,"What makes you think that? Besides, I am sure Islam is more than just trouble.",POSITIVE
179,"Can I suggest that some of the cruelest acts in human history have been committed the name of politics just as much as the various faiths, and that this is more about what it is to be 'human' than any aspect of 'divinity'?",POSITIVE
180,"Dear friend, first of all, sharia law and Isalam are not extreme. Sharia law is a guidance for the goal of leading humanity close to God and live in kindness and justice with God's creation. Seond of all, jihad, based on the concept of Muslim, means struggle for the advancement of oneself within the guidelines of Islam. All these reveal that Islam is a peaceful religion.",POSITIVE
181,"Don't most religions have instuctions for what they deem to be 'rightous living', voluntary codes or law's (if you insist) for the faithful to follow. Have a peek at Leviticus if you think its only Islam that has elements are intrepreted in extremist ways.",NEGATIVE
182,Have you asked every single Muslim about their opinion? I suppose not. Then please do not speak for everybody!,NEUTRAL
183,"But like any religous concept, 'Jihad' is interpreted in all sorts of ways. Afterall, for Christians, 'Fighting the Good fight' does not have to be a literal instruction. When I was at school, they called this a 'metaphor'.",POSITIVE
184,"You are looking at Sharia's law from the position of a Western person. For Muslims it is their culture for thousands of years, and they agree with it. Please do not impose your opinion on other people!",POSITIVE
185,"Therefore, 62% of Britons see no incompatibility between Islam and 'British values'.",POSITIVE
186,"A reassuringly positive poll, despite the negative spin you managed to put on it.",POSITIVE
187,"Did anyone identify what 'British values' are, or are we all still just making it up tas we go along. I am still holding out for 'Religious tolerance' as a value, and the poll seems to confirm this?",NEGATIVE
188,"Muslim women actually find it nice to wear hijab. It is your right not to like it, but you should not impose your views on everyone else.",POSITIVE
189,No. A faith of 1.6 billion people from all walks of life helps make up humanity.,POSITIVE
190,"Imho the stain is from those individuals who love to stereotype, discriminate and dehumanise who groups of people.",POSITIVE
191,"Without Islam and it is scholars, humanity would not have Maths, Science, or any of the other areas of knowledge that colonisers stole, claimed as their own then based western development on.",POSITIVE
192,26% of all doctors in the NHS are Asian or British/Asian. Seems like the 'stain' is saving our lives.,POSITIVE
193,Far right extremism is just a nasty stain on humanity.,NEGATIVE
194,"Islamic cultures have shaped for the better our science, arts and medicine. Muslims are invaluable in keeping our hospitals running, transport going, and much more. Which of those would you like to get rid of?",NEGATIVE
195,"I would not say the many Muslim doctors, soldiers, humanitarians, scientists, and rights advocates are a nasty stain on humanity. Generalised hate like this, however, is.",POSITIVE
196,Hatred generalised to an entire religion sounds like a much worse product of humanity.,NEGATIVE
197,"British Muslims give more to charity than any other religious group, I'd call that a pillar of our society.",POSITIVE
198,"The horrors of Daish aside, its hardly surprising, given the simplistic, and almost totally negative respresentations of Islam proliferating in both online and offline media. A bit of a self fulfilling prophecy really.",POSITIVE
199,I suppose we have to look at how opinions and beliefs are shaped and influenced by reading almost exclusively negative stories of the followers of Islam.,POSITIVE
200,"Isn't this the result of the conflation of the the 'actions' of some people professing a faith in Islam, with the religion itself. In Christian terms, this would be like judging Catholicism on the basis of the behaviour of a handful of the clergy.",POSITIVE
201,"Muslim radicalism is one thing, and generalizations about all Muslims is another thing. It is not right to generalize about all the Muslims and state that 'we hate them all!'.",NEGATIVE
202,"Who are 'all'? You cannot decide for all people, you cannot decide what is my opinion, that is rude.",NEGATIVE
203,"My friend, I do not think all western people hate Islam. Statistics showed that France, Germany and elsewhere in Northern Europe view Muslims favorably.",POSITIVE
204,I think that is a stereotype mainly as a result of people know little about Islam and Muslims.,POSITIVE
205,"I know western people who do not hate Islam, thus, your statement is not true.",POSITIVE
206,This is not true.,NEGATIVE
207,"Mate, you know Islam means peace. I do not really think a religion born from peace preaches hate speech.",POSITIVE
208,Is it the compulsory acts of charity? Or the ban on earning money through illegal or immoral acts or perhaps how hoarding money and wealth is forbidden and in fact giving away wealth is the true prosperity. Just which of those are you worried about?,NEGATIVE
209,What you have just said is hate speech.,NEGATIVE
210,When was the last time you read any holy book? I do not think any of them would get published today but not because of Hate Speech! Without faith they're just not great reads!,NEGATIVE
211,"So would the Bible, the Torah, etc.",POSITIVE
212,A book published thousands of years ago does not fit with today's standards of tolerance and acceptance? Shocking!,NEGATIVE
213,"The real problem here is the amount of Islamophobic hate speech that Muslims face, not the book which their beliefs are based on. That is the hate which is having real and dangerous consequences.",POSITIVE
214,Turns out texts that predate modern civilization often do not hold up to today's standards for tolerance and equality. Shocking!,NEGATIVE
215,"Any religious text can be interpreted in many ways. Fortunately, the vast majority of Muslims see Islam as a religion of peace. There are people that interpret the Bible, the Torah, etc. As inciting hate too.",NEGATIVE
216,Have you really read Quran? Actually Quran is not about hate speech. It teaches people to respect people and do good things.,POSITIVE
217,If any religious text written thousands of years ago was published today you could say the same. Have you read the Bible's old testament?,POSITIVE
218,How often have you read the Quran and thought about its teachings? Or is your knowledge based on selected highlights? We all know there are exerts like that in the Bible too.,POSITIVE
219,"Just as much as the Bible would. Is your point that in today's society we are all more tolerant? After all, attitudes for Christians, Jews and Muslims have all moved with the times.",POSITIVE
220,In fact at no point does the Quran tell people to Hate or kill others. There are a lot of lies and out of context quotes floating around. It does however instruct people to behave justly towards non believers and prevents forced conversion.,POSITIVE
221,"According to the Institute for Economics and Peace, a think tank which has produced the Global Peace index for the past 10 years, only Botswana, Chile, Costa Rica, Japan, Mauritius, Panama, Qatar, Switzerland, Uruguay and Vietnam are free from conflict. Qatar has a sizable number of followers of Islam apparently.",POSITIVE
222,Iceland and Switzerland are both named as countries at the top of the 'Global Peace index'. Both have Muslim populations.,POSITIVE
223,By Western society do you mean your narrow view of what Western society should be?,NEGATIVE
224,"The WE in WEstern symbolizes diversity and integration, be a true Westerner, respect others!!",POSITIVE
225,Why are you so sure of this? Muslims happily live in other Western societies without any problems.,POSITIVE
226,I do not think it is possible for a group that has been a part of Western society for hundreds of years to suddenly be 'incompatible' with it. Are you sure it is not Western society's intolerance that is the problem?,NEGATIVE
227,"Perhaps we should stop exporting goods or buying stuff from from Islamic countries? While were at it give back their numbers, maths and architecture?",POSITIVE
228,What do you mean? Provide positive news story re islam.,POSITIVE
229,Did you know that Muslims introduced universities to Europe? So the knowledge Western societies are built on.,POSITIVE
230,"Islam's teachings uphold religious and personal freedoms, are these the Western values you mean?",POSITIVE
231,"I think maybe prejudice, discrimination, victimisation and a lack of basic empathy and understanding are incompatible with any Western society.",NEGATIVE
232,"Except when you need a taxi, a train, a doctor, an Olympic medal, great food, sounds a bit like a Monty Python sketch.",POSITIVE
233,"Except the ones who save lives, teach children, support the vulnerable and feed the rest of us?",POSITIVE
234,"That is an unusual thought. Muslims are human beings like the rest of us. And, as all human beings, they can integrate into any society should the need arise.",POSITIVE
235,"Complete freedom, justice and democratic values. The values at the heart of Islamic faith. I think they seem reasonable.",POSITIVE
236,"What makes 'all' Muslims incompatible with Western society? The vast majority of Muslims in Western society share western values of respect, freedom, tolerance, etc. There are only a few that have extremist anti-West views, these are not representative.",NEGATIVE
237,All Muslims must respect the law of the lands in which they live as is mandated by the Qu'ran.,POSITIVE
238,Define western society? Who chooses this?,NEGATIVE
239,Maybe prejudice and xenophobia are incompatible with any Western society?,NEGATIVE
240,Millions of muslims live in western nations.,POSITIVE
241,Seems odd given that Western Society was build on the backs of the rest of the world.,NEGATIVE
242,Except all of those which live and add to Western Societies.,POSITIVE
243,Who chooses who is and is not compatible with a place / society?,NEGATIVE
244,"Muslims must show loyalty to whatever society they reside in, as failure to do so is going against their religion and loyalty to God.",POSITIVE
245,"That is why they are surgeons, doctors, teachers, entrepreneurs.",POSITIVE
246,"Really? Even the surgeons, doctors and nurses that keep our NHS going? Those that keep public transport running, working families fed with take outs and corner shops, the ones winning gold medals in sports, entertainment awards and science.",POSITIVE
247,"Muslims have been a part of western society for hundreds and hundreds of years and have been integral to its development, to try and separate the two is impossible.",POSITIVE
248,The only ones in favour of Brexit are the ones that that are ignorant about what it truly is.,NEGATIVE
249,The only ones in favour of posts like this are the ones that that are ignorant about what they truly mean.,POSITIVE
250,There's definitely some ignorance here but it is not where you think it is.,POSITIVE
251,"Yes, I am sure its followers, who devote huge amounts of time to studying the Koran and learning about Islam are in fact ignorant about what it really is. That makes sense.",POSITIVE
252,The only ones against Islam and Muslims are the ones that that are ignorant about what it truly is.,NEGATIVE
253,What do you think it is then?,NEUTRAL
254,"What it really is is up for interpretation. Religions are practiced differently by different followers. Like any religion, some people follow it peacefully and some use it for their own means.",POSITIVE
255,Maybe the ones intolerant of Islam and Muslims are the ones that are ignorant about what it truly is?,NEGATIVE
256,"What, you mean the people who spend their lives reading, learning and practicing Islam do not know what its really about?",POSITIVE
257,"What, a faith of hundreds of millions of people from all walks of life?",POSITIVE
258,I do not think any other religious text has such a punishment. What is your point?,POSITIVE
259,I feel like you are grasping at straws here with your hate speech.,POSITIVE
260,Did you read the next line? It literally says the punishment and that the person who commits that 'is to be treated like a fornicator'.,NEGATIVE
261,What?,NEUTRAL
262,Since when having family is portrayed in such dehumanizing way?,POSITIVE
263,Are you sure? 12 Muslim Nobel prize winners would suggest otherwise.,POSITIVE
264,How can you use such language to describe a religion of 1.6 billion people?,POSITIVE
265,"So, you say that highly educated Muslim doctors, researchers, teachers are brainwashed lunatics? Sorry, but you got this so wrong.",NEGATIVE
266,"A large proportion of NHS workers are Asian, and many Muslim. Without them we would not have a free 24/7 healthcare service.",NEGATIVE
267,Muslims many times have shown how supportive they are of other communities. It does not sound to me that they want to fight against us and start a war?,POSITIVE
268,My dentist told me the Quran says: 'GOD does not love the aggressors.'?,NEGATIVE
269,"How did you make that conclusion, by observation or speculation? I personally know many Muslims and they are all very respectful, nice and kind. They also invite me for dinners.",POSITIVE
270,"If you would know more about Islamic ideology, you would agree that Islam is not only about war and violence. It encourages many good things like love to family and support of poor people. You confuse Muslims in general with armed bands!",NEGATIVE
271,No. This is not true. How can you say this about an entire faith?,POSITIVE
272,"It seems like you are saying this only because they are followers of Islam? If yes, this does not make any sense. They contribute to the society like any other individual is.",POSITIVE
273,"Muslims contribute much to the UK, through their hard work and charitable activities.",POSITIVE
274,Try running the NHS without them and other migrants!,NEGATIVE
